,CountryName,CountryCode,BirthRate,GDP,totalGDP
0,Africa Eastern and Southern,AFE,33.0924142072301,1360.87864476883,921645942921.888
1,Africa Western and Central,AFW,36.2877247682186,1709.76412923861,784445725634.786
2,Arab World,ARB,24.1712037586307,5724.28687023385,2496251185652.42
3,Caribbean small states,CSS,15.4374717002947,8857.87092186091,65922853040.9271
4,Central Europe and the Baltics,CEB,9.42971897651645,16197.2993493424,1654916154373.08
5,Early-demographic dividend,EAR,19.6380911498435,3253.71345552774,10841710191637.6
6,East Asia & Pacific,EAS,10.9133193593481,11483.599313849,27118722832657.5
7,East Asia & Pacific (excluding high income),EAP,11.3548384114578,8270.4551375631,17483820589534.5
8,East Asia & Pacific (IDA & IBRD countries),TEA,11.3248134981785,8361.93814697082,17461284721761.5
9,Euro area,EMU,8.87387191300895,38012.6672881035,13027258675468.3
10,Europe & Central Asia,ECS,11.1397458212664,23981.0220068683,22133908631128.1
11,Europe & Central Asia (excluding high income),ECA,13.6318693903957,7435.16074761498,2980726151029.73
12,Europe & Central Asia (IDA & IBRD countries),TEC,13.0586521862875,8406.89091077412,3884826500881.03
13,European Union,EUU,9.04359309821601,34191.8282529314,15300141971364.8
14,Fragile and conflict affected situations,FCS,31.7118742554899,1624.94302839664,1561506152786.47
15,Heavily indebted poor countries (HIPC),HPC,34.4497137347597,975.474261768968,803283582149.532
16,High income,HIC,9.69341985541335,43282.4234611717,53699833079337.6
17,IBRD only,IBD,14.5671592487438,6176.40377048976,30032432470232.9
18,IDA & IBRD total,IBT,18.7019656024605,4925.38124212598,32364941970351.3
19,IDA blend,IDB,31.096882066501,1740.60380824477,999383582141.337
20,IDA only,IDX,30.1525256602471,1175.58660508453,1333641390974.43
21,IDA total,IDA,30.4698533616397,1365.04784292945,2332329928471.15
22,Late-demographic dividend,LTE,10.3528123529658,9699.0893745314,22470885208733.4
23,Latin America & Caribbean,LCN,15.8639459172216,7270.70358438419,4743154434209.72
24,Latin America & Caribbean (excluding high income),LAC,15.9877160210724,6765.53277629677,3997944092006.99
25,Latin America & the Caribbean (IDA & IBRD countries),TLA,16.0319708413999,7062.47559044946,4495215145995.85
26,Least developed countries: UN classification,LDC,30.736040612983,1099.20156053236,1162000059176.75
27,Low & middle income,LMY,18.7927210220604,4759.77608177317,30913851917481.4
28,Low income,LIC,34.053390864948,703.733845480583,481025300269.274
29,Lower middle income,LMC,21.1783278694017,2285.71110749434,7585548465069.87
30,Middle East & North Africa,MEA,21.5485998590225,6688.08727950427,3106899915587.77
31,Middle East & North Africa (excluding high income),MNA,22.5913712314597,3190.32509710122,1263840405685.41
32,Middle East & North Africa (IDA & IBRD countries),TMN,22.5223604408247,3189.79540382642,1248309123457.61
33,Middle income,MIC,16.9976897530479,5237.02247349621,30433799984879.0
34,North America,NAC,10.7451969656553,61000.8552589461,22546048902568.4
36,OECD members,OED,10.7450232770458,38116.4222248183,52333093047631.9
37,Other small states,OSS,22.4200976681373,11792.0664241862,376519277668.36
38,Pacific island small states,PSS,25.406428431907,3785.50340580673,9573379122.14219
39,Post-demographic dividend,PST,9.22665816745474,44330.3116982257,49529282835846.2
40,Pre-demographic dividend,PRE,35.6699304071474,1349.15316019379,1309752047432.1
41,Small states,SST,21.3699578046088,10787.6687294932,452015509831.429
42,South Asia,SAS,18.9183531389491,1875.44139149022,3482474115840.58
43,South Asia (IDA & IBRD),TSA,18.9183531389491,1875.44139149022,3482474115840.58
44,Sub-Saharan Africa,SSF,34.3828712769058,1501.77942150021,1706091668556.67
45,Sub-Saharan Africa (excluding high income),SSA,34.384482007474,1500.85264844909,1704891034067.33
46,Sub-Saharan Africa (IDA & IBRD countries),TSS,34.3828712769058,1501.77942150021,1706091668556.67
47,Upper middle income,UMC,11.4312048114966,9166.46085400957,22848294411119.4
48,World,WLD,17.3335987907788,10936.0574657438,84906814189239.5
49,Afghanistan,AFG,31.153,516.747870807558,20116137325.8206
50,Albania,ALB,11.453,5332.16047456847,15131866270.5936
51,Algeria,DZA,22.781,3306.85820838104,145009181490.62
52,American Samoa,ASM,12.7,12844.9009909959,709000000.0
54,Angola,AGO,39.791,1631.43169087951,53619071176.139
55,Antigua and Barbuda,ATG,14.876,13992.7444804497,1370281481.48148
56,Argentina,ARG,16.644,8585.69474249794,389591035520.675
57,Armenia,ARM,13.281,4266.01807420946,12641209802.112
58,Aruba,ABW,11.841,23384.2987907455,2496648044.69274
59,Australia,AUS,11.5,51680.3165229438,1327836171068.51
60,Austria,AUT,9.4,48588.6593847921,433258467676.515
61,Azerbaijan,AZE,12.5,4229.91064904503,42693000000.0
62,"Bahamas, The",BHS,13.791,24665.0968345675,9699500000.0
63,Bahrain,BHR,13.269,20406.5023256629,34723357446.8085
64,Bangladesh,BGD,17.549,2270.34753479166,373902134700.41
65,Barbados,BRB,10.598,16318.7481052701,4689534961.75956
66,Belarus,BLR,9.3,6555.42681826316,61489588894.8211
67,Belgium,BEL,9.9,45189.3669003126,521676942134.632
68,Belize,BLZ,20.247,3987.79659612067,1585631670.3461
69,Benin,BEN,35.452,1291.04097215441,15651545331.5404
70,Bermuda,BMU,8.4,107706.039785266,6881662000.0
71,Bhutan,BTN,16.712,3000.77798595652,2315436303.29988
72,Bolivia,BOL,21.186,3137.98961744018,36629843806.0781
73,Bosnia and Herzegovina,BIH,7.778,6082.36673041923,19955120004.6604
74,Botswana,BWA,23.654,6348.83231765626,14930072799.0084
75,Brazil,BRA,13.463,6814.87563196772,1448565936739.56
77,Brunei Darussalam,BRN,14.076,27442.95382794,12005825769.5087
78,Bulgaria,BGR,8.5,10079.2033812203,69889347433.4324
79,Burkina Faso,BFA,36.989,857.932729650223,17933606353.1775
80,Burundi,BDI,37.765,233.837510306669,2780510624.64184
81,Cabo Verde,CPV,18.636,3064.27238842819,1703698676.69742
82,Cambodia,KHM,21.561,1547.51138764424,25872798012.1938
83,Cameroon,CMR,34.421,1537.13021832773,40804449726.0184
84,Canada,CAN,9.4,43258.2638715601,1645423407568.36
85,Cayman Islands,CYM,12.6,85346.7619526658,5608989195.5292
86,Central African Republic,CAF,34.879,481.746296629034,2326720920.59223
