,CountryName,CountryCode,BirthRate,Expectancy
0,Africa Eastern and Southern,AFE,33.0924142072301,64.3257022314803
1,Africa Western and Central,AFW,36.2877247682186,58.4459527348481
2,Arab World,ARB,24.1712037586307,72.1707598827252
3,Caribbean small states,CSS,15.4374717002947,73.8709059808875
4,Central Europe and the Baltics,CEB,9.42971897651645,76.1441688035782
5,Early-demographic dividend,EAR,19.6380911498435,70.9112394136255
6,East Asia & Pacific,EAS,10.9133193593481,76.4449787247609
7,East Asia & Pacific (excluding high income),EAP,11.3548384114578,75.5811244020328
8,East Asia & Pacific (IDA & IBRD countries),TEA,11.3248134981785,75.6197431778303
9,Euro area,EMU,8.87387191300895,81.5358828056894
10,Europe & Central Asia,ECS,11.1397458212664,77.3901512978773
11,Europe & Central Asia (excluding high income),ECA,13.6318693903957,73.1039947304536
12,Europe & Central Asia (IDA & IBRD countries),TEC,13.0586521862875,73.4832688203337
13,European Union,EUU,9.04359309821601,80.4637018880586
14,Fragile and conflict affected situations,FCS,31.7118742554899,62.9926020796595
15,Heavily indebted poor countries (HIPC),HPC,34.4497137347597,63.8096279614673
16,High income,HIC,9.69341985541335,80.2105306378702
17,IBRD only,IBD,14.5671592487438,73.7017205937042
18,IDA & IBRD total,IBT,18.7019656024605,71.3882329970137
19,IDA blend,IDB,31.096882066501,62.6349500666142
20,IDA only,IDX,30.1525256602471,65.9016315611475
21,IDA total,IDA,30.4698533616397,64.8039437358971
22,Late-demographic dividend,LTE,10.3528123529658,76.4390057298943
23,Latin America & Caribbean,LCN,15.8639459172216,75.762427569981
24,Latin America & Caribbean (excluding high income),LAC,15.9877160210724,75.7368725894048
25,Latin America & the Caribbean (IDA & IBRD countries),TLA,16.0319708413999,75.6828220726702
26,Least developed countries: UN classification,LDC,30.736040612983,65.6289399415688
27,Low & middle income,LMY,18.7927210220604,71.3261273958382
28,Low income,LIC,34.053390864948,64.0575295648766
29,Lower middle income,LMC,21.1783278694017,69.3303443969452
30,Middle East & North Africa,MEA,21.5485998590225,74.4477337438886
31,Middle East & North Africa (excluding high income),MNA,22.5913712314597,73.9654230228965
32,Middle East & North Africa (IDA & IBRD countries),TMN,22.5223604408247,73.9623843227375
33,Middle income,MIC,16.9976897530479,72.1811046069178
34,North America,NAC,10.7451969656553,77.7411628196422
36,OECD members,OED,10.7450232770458,79.703266865293
37,Other small states,OSS,22.4200976681373,69.0319829742748
38,Pacific island small states,PSS,25.406428431907,70.2275053761847
39,Post-demographic dividend,PST,9.22665816745474,80.164363177794
40,Pre-demographic dividend,PRE,35.6699304071474,61.4987693990593
41,Small states,SST,21.3699578046088,69.9519871025813
42,South Asia,SAS,18.9183531389491,69.867846801551
43,South Asia (IDA & IBRD),TSA,18.9183531389491,69.867846801551
44,Sub-Saharan Africa,SSF,34.3828712769058,61.9511085383077
45,Sub-Saharan Africa (excluding high income),SSA,34.384482007474,61.9497836200855
46,Sub-Saharan Africa (IDA & IBRD countries),TSS,34.3828712769058,61.9511085383077
47,Upper middle income,UMC,11.4312048114966,75.9769797728818
48,World,WLD,17.3335987907788,72.747919083206
49,Afghanistan,AFG,31.153,65.173
50,Albania,ALB,11.453,78.686
51,Algeria,DZA,22.781,77.063
54,Angola,AGO,39.791,61.487
55,Antigua and Barbuda,ATG,14.876,77.146
56,Argentina,ARG,16.644,76.813
57,Armenia,ARM,13.281,75.224
58,Aruba,ABW,11.841,76.434
59,Australia,AUS,11.5,83.2
60,Austria,AUT,9.4,81.1926829268293
61,Azerbaijan,AZE,12.5,73.123
62,"Bahamas, The",BHS,13.791,74.053
63,Bahrain,BHR,13.269,77.419
64,Bangladesh,BGD,17.549,72.868
65,Barbados,BRB,10.598,79.308
66,Belarus,BLR,9.3,74.2268292682927
67,Belgium,BEL,9.9,80.7951219512195
68,Belize,BLZ,20.247,74.754
69,Benin,BEN,35.452,62.077
70,Bermuda,BMU,8.4,82.0560975609756
71,Bhutan,BTN,16.712,72.08
72,Bolivia,BOL,21.186,71.771
73,Bosnia and Herzegovina,BIH,7.778,77.545
74,Botswana,BWA,23.654,69.793
75,Brazil,BRA,13.463,76.084
77,Brunei Darussalam,BRN,14.076,75.998
78,Bulgaria,BGR,8.5,73.6073170731707
79,Burkina Faso,BFA,36.989,61.981
80,Burundi,BDI,37.765,61.916
81,Cabo Verde,CPV,18.636,73.166
82,Cambodia,KHM,21.561,70.054
83,Cameroon,CMR,34.421,59.626
84,Canada,CAN,9.4,81.7487804878049
86,Central African Republic,CAF,34.879,53.679
87,Chad,TCD,41.161,54.505
88,Channel Islands,CHI,9.786,83.24
89,Chile,CHL,11.99,80.329
90,China,CHN,8.52,77.097
91,Colombia,COL,14.415,77.46
92,Comoros,COM,30.949,64.525
93,"Congo, Dem. Rep.",COD,40.109,60.971
94,"Congo, Rep.",COG,31.991,64.804
95,Costa Rica,CRI,13.404,80.465
96,Cote d'Ivoire,CIV,35.168,58.104
97,Croatia,HRV,8.9,77.7243902439024
98,Cuba,CUB,9.779,78.892
100,Cyprus,CYP,10.008,81.135
101,Czech Republic,CZE,10.3,78.2268292682927
102,Denmark,DNK,10.4,81.5512195121951
103,Djibouti,DJI,20.542,67.49
105,Dominican Republic,DOM,18.863,74.257
106,Ecuador,ECU,19.189,77.216
107,"Egypt, Arab Rep.",EGY,25.069,72.15
108,El Salvador,SLV,17.827,73.533
109,Equatorial Guinea,GNQ,32.349,59.057
110,Eritrea,ERI,29.216,66.679
111,Estonia,EST,9.9,78.3463414634146
112,Eswatini,SWZ,25.4,60.721
113,Ethiopia,ETH,31.442,66.953
114,Faroe Islands,FRO,12.9,83.0926829268293
115,Fiji,FJI,20.604,67.561
116,Finland,FIN,8.4,82.1317073170732
117,France,FRA,10.9,82.1756097560976
118,French Polynesia,PYF,14.175,77.836
119,Gabon,GAB,30.257,66.69
120,"Gambia, The",GMB,37.588,62.383
121,Georgia,GEO,12.916,73.919
122,Germany,DEU,9.3,80.9414634146342
123,Ghana,GHA,28.598,64.347
125,Greece,GRC,7.9,81.0878048780488
126,Greenland,GRL,14.8,71.4046341463415
127,Grenada,GRD,15.902,72.426
128,Guam,GUM,16.348,80.277
129,Guatemala,GTM,23.854,74.529
130,Guinea,GIN,35.568,61.962
131,Guinea-Bissau,GNB,34.006,58.634
132,Guyana,GUY,19.473,70.023
133,Haiti,HTI,23.58,64.315
134,Honduras,HND,21.06,75.448
135,"Hong Kong SAR, China",HKG,5.8,85.3878048780488
136,Hungary,HUN,9.6,75.6170731707317
137,Iceland,ISL,12.3,83.0658536585366
138,India,IND,17.437,69.887
139,Indonesia,IDN,17.448,71.908
140,"Iran, Islamic Rep.",IRN,17.94,76.87
141,Iraq,IRQ,28.139,70.748
142,Ireland,IRL,11.2,82.2048780487805
144,Israel,ISR,19.2,82.7
145,Italy,ITA,6.8,82.3439024390244
146,Jamaica,JAM,15.695,74.586
147,Japan,JPN,6.8,84.6156097560976
148,Jordan,JOR,21.109,74.655
149,Kazakhstan,KAZ,22.76,71.37
150,Kenya,KEN,27.936,66.991
151,Kiribati,KIR,26.999,68.611
152,"Korea, Dem. People's Rep.",PRK,13.784,72.453
153,"Korea, Rep.",KOR,5.3,83.4268292682927
154,Kosovo,XKX,15.4,71.0878048780488
155,Kuwait,KWT,12.616,75.586
156,Kyrgyz Republic,KGZ,24.0,71.8
157,Lao PDR,LAO,22.66,68.219
158,Latvia,LVA,9.2,75.3878048780488
159,Lebanon,LBN,17.17,79.004
160,Lesotho,LSO,25.998,54.836
161,Liberia,LBR,32.355,64.423
162,Libya,LBY,17.806,73.082
163,Liechtenstein,LIE,9.1,81.8073170731707
164,Lithuania,LTU,9.0,74.9292682926829
165,Luxembourg,LUX,10.2,81.7414634146342
166,"Macao SAR, China",MAC,10.712,84.37
167,Madagascar,MDG,32.145,67.39
168,Malawi,MWI,33.416,64.694
169,Malaysia,MYS,16.435,76.306
170,Maldives,MDV,13.055,79.208
171,Mali,MLI,40.557,59.692
172,Malta,MLT,8.6,82.6536585365854
174,Mauritania,MRT,32.843,65.129
175,Mauritius,MUS,10.6,74.1770731707317
176,Mexico,MEX,17.005,75.131
177,"Micronesia, Fed. Sts.",FSM,22.606,68.002
178,Moldova,MDA,9.763,72.006
180,Mongolia,MNG,22.564,70.056
181,Montenegro,MNE,11.4,75.9317073170732
182,Morocco,MAR,18.099,76.901
183,Mozambique,MOZ,36.808,61.387
184,Myanmar,MMR,17.233,67.363
185,Namibia,NAM,27.659,64.045
187,Nepal,NPL,19.256,71.067
188,Netherlands,NLD,9.7,81.409756097561
189,New Caledonia,NCL,13.783,77.7711707317073
190,New Zealand,NZL,11.32,82.0560975609756
191,Nicaragua,NIC,19.788,74.697
192,Niger,NER,45.213,62.792
193,Nigeria,NGA,37.011,55.018
194,North Macedonia,MKD,9.2,75.6931707317073
196,Norway,NOR,9.8,83.209756097561
197,Oman,OMN,17.782,78.078
198,Pakistan,PAK,27.379,67.428
200,Panama,PAN,18.451,78.68
201,Papua New Guinea,PNG,26.522,64.725
202,Paraguay,PRY,20.093,74.363
203,Peru,PER,17.544,76.947
204,Philippines,PHL,19.89,71.36
205,Poland,POL,9.4,76.6
206,Portugal,PRT,8.2,80.9756097560976
207,Puerto Rico,PRI,5.6,80.0874634146342
208,Qatar,QAT,9.226,80.363
209,Romania,ROU,9.2,74.3536585365854
210,Russian Federation,RUS,9.8,71.3387804878049
211,Rwanda,RWA,30.725,69.329
212,Samoa,WSM,23.855,73.45
214,Sao Tome and Principe,STP,30.811,70.583
215,Saudi Arabia,SAU,16.814,75.28
216,Senegal,SEN,33.418,68.213
217,Serbia,SRB,8.9,74.2292682926829
218,Seychelles,SYC,15.8,77.2365853658537
219,Sierra Leone,SLE,32.354,55.066
220,Singapore,SGP,8.5,83.7439024390244
222,Slovak Republic,SVK,10.4,76.8658536585366
223,Slovenia,SVN,8.9,80.5317073170732
224,Solomon Islands,SLB,31.447,73.132
225,Somalia,SOM,41.406,57.697
226,South Africa,ZAF,19.773,64.379
227,South Sudan,SSD,34.297,58.095
228,Spain,ESP,7.1,82.3341463414634
229,Sri Lanka,LKA,15.253,77.144
231,St. Lucia,LCA,11.656,76.343
232,St. Martin (French part),MAF,14.4,80.1219512195122
233,St. Vincent and the Grenadines,VCT,13.938,72.658
234,Sudan,SDN,31.491,65.53
235,Suriname,SUR,18.053,71.802
236,Sweden,SWE,10.9,82.4073170731707
237,Switzerland,CHE,9.9,83.1
